sector,parroquia,poblacion_estimada,tasa_feminicidio_100k,denuncias_vg_100hog,casas_acogida_disponibles,centros_dece_activos_pct,cobertura_devif,prog_prevencion_activos,femicidios_sin_sentencia,victimas_protegidas_activas,fuente_feminicidios,fuente_denuncias,fuente_dece,fuente_devif
Pascuales — Mucho Lote 2,Pascuales,90606,1.148,5.57,0,65.0,0.85,2,0,116,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Pascuales — Las Orquídeas,Pascuales,90606,1.148,5.57,0,65.0,0.85,2,0,116,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Olmedo — Centro Sur,Olmedo,55280,0.706,4.36,1,88.5,0.8,1,0,71,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Sucre — Centro Norte,Sucre,46150,0.706,4.36,1,87.0,0.75,1,0,59,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Roca — Urdesa Central,Roca,42380,0.706,4.36,0,91.0,0.75,1,0,54,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Rocafuerte — Av. Pichincha,Rocafuerte,38920,0.706,4.36,0,89.0,0.7,1,0,50,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
9 de Octubre — Centro Histórico,9 de Octubre,35740,0.706,4.36,0,90.5,0.8,1,0,46,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Carbo — Centro Bancario,Carbo,31620,0.706,4.36,0,88.0,0.75,1,0,41,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Bolívar — Sagrario,Bolívar,28900,0.706,4.36,0,86.5,0.7,1,0,37,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Pedro Carbo — La Pradera,Pedro Carbo,60200,0.706,4.36,0,72.0,0.55,1,0,77,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Tenguel — Sur Rural,Tenguel,20150,1.148,5.57,0,55.0,0.3,1,0,26,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Posorja — Suroeste Rural,Posorja,18340,1.148,5.57,0,48.0,0.25,1,0,24,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
El Morro — Litoral,El Morro,9820,1.148,5.57,0,42.0,0.15,1,0,13,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Puná — Insular,Puná,11730,1.148,5.57,0,35.0,0.1,1,0,15,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Juan Gómez Rendón — Progreso,Juan Gómez Rendón,17480,0.706,4.36,0,58.0,0.35,1,0,22,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Chongón — Vía Costa,Chongón,22140,0.706,4.36,0,61.0,0.4,1,0,28,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
